id,title,overview,year,vote_average,vote_count,original_language,popularity,genres,genre_ids,poster_path
1284120,The Ugly Stepsister,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",2025,7.33,697,no,37.6066,"['Horror', 'Comedy', 'Fantasy', 'Drama']","[27, 35, 14, 18]",/rayAREIKtSinuov10GvrZHyXfXH.jpg
1035259,The Naked Gun,"Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr. Following in his father's footsteps, he must solve a murder case to prevent Police Squad from closure.",2025,6.52,1105,en,37.5874,"['Action', 'Comedy', 'Crime']","[28, 35, 80]",/hF4pG0CMDzC4GCiiUR9iNrzoW2p.jpg
338969,The Toxic Avenger Unrated,"When a downtrodden janitor, Winston Gooze, is exposed to a catastrophic toxic accident, he’s transformed into a new kind of hero: The Toxic Avenger. Now, Toxie must rise from outcast to savior, taking on ruthless corporate overlords and corrupt forces who threaten his son, his friends, and his community.",2025,6.171,205,en,34.962,"['Action', 'Comedy', 'Science Fiction']","[28, 35, 878]",/cCWojb6N9UcTzNVtS4bOM3vQ30x.jpg
157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014,8.462,38276,en,35.6023,"['Adventure', 'Drama', 'Science Fiction']","[12, 18, 878]",/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
1175942,The Bad Guys 2,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",2025,7.7,527,en,34.5094,"['Family', 'Comedy', 'Crime', 'Adventure', 'Animation']","[10751, 35, 80, 12, 16]",/c1msaKf1wyuKcmLjjJd6rIBPFcd.jpg
372058,Your Name.,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",2016,8.5,12117,ja,34.9111,"['Animation', 'Romance', 'Drama']","[16, 10749, 18]",/q719jXXEzOoYaps6babgKnONONX.jpg
533533,TRON: Ares,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",2025,6.3,413,en,32.85,"['Science Fiction', 'Adventure', 'Action']","[878, 12, 28]",/chpWmskl3aKm1aTZqUHRCtviwPy.jpg
604079,The Long Walk,"In a dystopian, alternate-America ruled by a totalitarian regime, 50 teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",2025,6.927,826,en,30.5477,"['Thriller', 'Science Fiction', 'Horror']","[53, 878, 27]",/wobVTa99eW0ht6c1rNNzLkazPtR.jpg
980477,Ne Zha 2,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",2025,8.038,463,zh,32.5638,"['Animation', 'Fantasy', 'Adventure', 'Action']","[16, 14, 12, 28]",/cb5NyNrqiCNNoDkA8FfxHAtypdG.jpg
541671,Ballerina,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",2025,7.312,1987,en,31.9941,"['Action', 'Thriller', 'Crime']","[28, 53, 80]",/2VUmvqsHb6cEtdfscEA6fqqVzLg.jpg
552524,Lilo & Stitch,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,2025,7.249,1845,en,30.8399,"['Family', 'Science Fiction', 'Comedy', 'Adventure']","[10751, 878, 35, 12]",/ckQzKpQJO4ZQDCN5evdpKcfm7Ys.jpg
12400,Redbelt,"Is there room for principle in Los Angeles? Mike Terry teaches jujitsu and barely makes ends meet. His Brazilian wife, whose family promotes fights, wants to see Mike in the ring making money, but to him competition is degrading. A woman sideswipes Mike's car and then, after an odd sequence of events, shoots out the studio's window. Later that evening, Mike rescues an action movie star in a fistfight at a bar. In return, the actor befriends Mike, gives him a gift, offers him work on his newest film, and introduces Mike's wife to his own - the women initiate business dealings. Then, things go sour all at once, Mike's debts mount, and going into the ring may be his only option.",2008,6.463,285,en,16.4299,['Drama'],[18],/tjLKe0QCGgSrvEd41Z4q2QpSoJF.jpg
76600,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",2022,7.61,13069,en,29.6288,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]",/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
941109,Play Dirty,"Expert thief Parker gets a shot at a major heist, but to pull it off he and his team must outsmart a South American dictator, the New York mob, and the world's richest man.",2025,6.637,468,en,28.2811,['Crime'],[80],/ovZ0zq0NwRghtWI1oLaM0lWuoEw.jpg
278,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994,8.7,29255,en,26.1973,"['Drama', 'Crime']","[18, 80]",/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
574475,Final Destination Bloodlines,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",2025,7.1,2396,en,27.8406,"['Horror', 'Mystery']","[27, 9648]",/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg
1022789,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",2024,7.549,6262,en,28.7086,"['Animation', 'Adventure', 'Comedy', 'Family']","[16, 12, 35, 10751]",/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
950387,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",2025,6.3,2514,en,26.9283,"['Family', 'Fantasy', 'Comedy', 'Adventure', 'Action']","[10751, 14, 35, 12, 28]",/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg
1078605,Weapons,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",2025,7.325,2401,en,28.3111,"['Horror', 'Mystery']","[27, 9648]",/cpf7vsRZ0MYRQcnLWteD5jK9ymT.jpg
671,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",2001,7.9,28832,en,26.6746,"['Adventure', 'Fantasy']","[12, 14]",/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
950396,The Gorge,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",2025,7.674,3176,en,27.1597,"['Romance', 'Science Fiction', 'Thriller']","[10749, 878, 53]",/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg
2105,American Pie,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom.",1999,6.598,8033,en,25.1211,"['Comedy', 'Romance']","[35, 10749]",/5P68by2Thn8wHAziyWGEw2O7hco.jpg
1022787,Elio,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",2025,6.967,675,en,27.4167,"['Family', 'Comedy', 'Adventure', 'Animation', 'Science Fiction']","[10751, 35, 12, 16, 878]",/7z8jDiTZZco9moIKpTUImFtTy7o.jpg
1241982,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",2024,7.024,2798,en,25.5639,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']","[10751, 35, 12, 16, 14]",/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg
533535,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",2024,7.568,7953,en,26.4296,"['Action', 'Comedy', 'Science Fiction']","[28, 35, 878]",/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
474350,It Chapter Two,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",2019,6.838,9254,en,27.6674,"['Horror', 'Thriller']","[27, 53]",/zfE0R94v1E8cuKAerbskfD3VfUt.jpg
